league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2021,Burnley,Nick Pope,1,2020,92,5552,GK,32,2880,0,0.0,0,0.0,0,0.08605049923062325,0,2,1,0,1.1779347462579608,1.09188465308398
ENG-Premier League,2021,Burnley,Phil Bardsley,1,2020,92,857,D S,4,272,0,0.06341449916362762,0,0.06341449916362762,0,0.0,3,0,2,0,0.12669399939477444,0.10160529986023903
ENG-Premier League,2021,Burnley,Robbie Brady,1,2020,92,789,M S,19,1061,1,0.7830978035926819,1,0.7830978035926819,1,0.9085825961083174,16,7,3,0,2.677590448409319,1.5309147164225578
ENG-Premier League,2021,Burnley,Will Norris,1,2020,92,7459,GK,2,180,0,0.0,0,0.0,0,0.04762199893593788,0,1,0,0,0.09335120022296906,0.045729201287031174
ENG-Premier League,2021,Chelsea,Andreas Christensen,1,2020,80,200,D S,17,1375,0,0.12940829992294312,0,0.12940829992294312,0,0.25010460056364536,3,6,2,1,7.441709998995066,7.276740927249193
ENG-Premier League,2021,Chelsea,Antonio Rüdiger,1,2020,80,1822,D,19,1710,1,1.1399358808994293,1,1.1399358808994293,0,0.3058072980493307,14,4,0,0,9.13764899969101,9.04483500123024
ENG-Premier League,2021,Chelsea,Ben Chilwell,1,2020,80,782,D M,27,2296,3,2.984890672378242,3,2.984890672378242,5,2.4556783102452755,27,30,3,0,11.330960918217897,8.155131109058857
ENG-Premier League,2021,Chelsea,Billy Gilmour,1,2020,80,7988,M S,5,256,0,0.051134299486875534,0,0.051134299486875534,0,0.1236583013087511,1,3,0,0,0.5436723902821541,0.4064304009079933
ENG-Premier League,2021,Chelsea,Callum Hudson-Odoi,1,2020,80,6456,D F M S,23,1048,2,1.3696891833096743,2,1.3696891833096743,3,3.1041410844773054,23,31,0,0,7.8243640046566725,5.499200417660177
ENG-Premier League,2021,Chelsea,Christian Pulisic,1,2020,80,2662,F M S,27,1739,4,6.775410307571292,4,6.775410307571292,2,2.761231416836381,43,25,2,0,14.59386957809329,7.101113624870777
ENG-Premier League,2021,Chelsea,César Azpilicueta,1,2020,80,681,D S,26,2189,1,0.5030054012313485,1,0.5030054012313485,2,2.575493517331779,11,27,5,1,13.98924983292818,12.338828016072512
ENG-Premier League,2021,Chelsea,Edouard Mendy,1,2020,80,6880,GK,31,2748,0,0.0,0,0.0,0,0.0,0,0,2,0,4.780521096661687,4.780521096661687
ENG-Premier League,2021,Chelsea,Emerson,1,2020,80,1245,S,2,88,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2021,Chelsea,Fikayo Tomori,1,2020,80,703,S,1,43,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0727275013923645,0.0727275013923645
ENG-Premier League,2021,Chelsea,Hakim Ziyech,1,2020,80,8992,F M S,23,1182,2,1.9873142782598734,2,1.9873142782598734,3,4.478449231013656,35,34,3,0,7.6606698632240295,3.6919246558099985
ENG-Premier League,2021,Chelsea,Jorginho,1,2020,80,1389,M S,28,2022,7,6.972690639086068,0,0.12224530149251223,1,1.9548698784783483,14,24,2,0,11.383733398281038,10.878981369547546
ENG-Premier League,2021,Chelsea,Kai Havertz,1,2020,80,5220,F M S,27,1523,4,6.352187737822533,4,6.352187737822533,3,1.5533829852938652,33,18,2,0,10.38293974660337,4.811912000179291
ENG-Premier League,2021,Chelsea,Kepa,1,2020,80,5061,GK S,7,582,0,0.0,0,0.0,0,0.0,0,0,1,0,0.30502480547875166,0.30502480547875166
ENG-Premier League,2021,Chelsea,Kurt Zouma,1,2020,80,935,D S,24,2024,5,3.1368540562689304,5,3.1368540562689304,0,0.08146690018475056,27,4,3,0,6.216146887280047,6.133134902454913
ENG-Premier League,2021,Chelsea,Marcos Alonso,1,2020,80,1621,D S,13,962,2,1.824077844619751,2,1.824077844619751,0,1.7216993737965822,22,15,2,0,4.6433930564671755,2.5364248510450125
ENG-Premier League,2021,Chelsea,Mason Mount,1,2020,80,7768,F M S,36,2891,6,6.884881563484669,5,6.123712250962853,5,9.847691288217902,82,87,2,0,21.69607226829976,12.443154769949615
ENG-Premier League,2021,Chelsea,Mateo Kovacic,1,2020,80,2254,M S,27,1833,0,0.9314175006002188,0,0.9314175006002188,1,1.915258969180286,23,21,4,0,14.808719574473798,13.035788065753877
ENG-Premier League,2021,Chelsea,N'Golo Kanté,1,2020,80,751,M S,30,2142,0,0.7004625108093023,0,0.7004625108093023,2,1.2067134976387024,10,22,7,0,10.102663565427065,8.441410657018423
ENG-Premier League,2021,Chelsea,Olivier Giroud,1,2020,80,502,F S,17,750,4,5.0704178139567375,4,5.0704178139567375,0,1.175797939300537,29,6,1,0,5.245492395013571,1.7113378066569567
ENG-Premier League,2021,Chelsea,Reece James,1,2020,80,8067,D M S,32,2355,1,1.534597285091877,1,1.534597285091877,2,3.6499774176627398,35,42,3,0,11.71861541364342,9.588870281353593
ENG-Premier League,2021,Chelsea,Ruben Loftus-Cheek,1,2020,80,688,F M S,31,1988,1,3.3300100583583117,1,3.3300100583583117,0,1.244578005746007,35,17,3,0,7.614797158166766,3.7472258722409606
